temporada;data;data_dmy;equip;competicio;divisio;grup;tipus;seu_club;municipi;precisio;km_anada;km_total;minuts_anada;estat;nota;seu_nominal;tarifa_eur_km;import_km_eur;jugadors;te_dieta;import_dietes_eur;import_total_eur;preu_gasolina_eur_l;setmana_preu;litres;cost_combustible_eur
2025-2026;2025-09-06;06/09/25;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;C.B.CANET DE MAR;Canet de Mar;municipi;74.4;148.8;62;verificat;;;0.26;38.69;4;True;100.0;138.69;1.4777;2025-09-01;9.67;14.29
2025-2026;2025-09-13;13/09/25;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;C.B.LLINARS;Llinars del Vallès;carrer;77.7;155.4;60;verificat;;;0.26;40.4;4;True;100.0;140.4;1.48;2025-09-08;10.1;14.95
2025-2026;2025-10-11;11/10/25;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;B.LA UNIÓ CORAL;Sant Feliu de Llobregat;carrer;125.2;250.4;95;verificat;;;0.26;65.1;4;True;100.0;165.1;1.4817;2025-10-06;16.28;24.12
2025-2026;2025-11-08;08/11/25;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;C.B.LLINARS;Llinars del Vallès;carrer;77.7;155.4;60;verificat;;;0.26;40.4;4;True;100.0;140.4;1.4721;2025-11-03;10.1;14.87
2025-2026;2025-11-15;15/11/25;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;C.B.2000 CERDANYOLA;Cerdanyola del Vallès;carrer;109.8;219.6;82;verificat;;;0.26;57.1;4;True;100.0;157.1;1.4771;2025-11-10;14.27;21.08
2025-2026;2026-02-07;07/02/26;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;C.B.MONT-ROIG;Mont-roig del Camp;carrer;233.9;467.8;162;verificat;;;0.26;121.63;4;True;100.0;221.63;1.4523;2026-02-02;30.41;44.16
2025-2026;2026-03-21;21/03/26;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;C.B.MATARÓ;Mataró;carrer;85.9;171.8;68;verificat;;;0.26;44.67;4;True;100.0;144.67;1.7087;2026-03-16;11.17;19.08
2025-2026;2026-05-02;02/05/26;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;S.B.LA GRAN PENYA;Vilanova i la Geltrú;portal;161.6;323.2;126;verificat;;;0.26;84.03;4;True;100.0;184.03;1.5038;2026-04-27;21.01;31.59
2025-2026;2026-05-09;09/05/26;"Banyoles ""C""";Lliga Catalana Tres Bandes;4a DIVISIÓ;A;regular;C.B.MONFORTE;Barcelona;portal;111.6;223.2;82;verificat;;;0.26;58.03;4;True;100.0;158.03;1.5282;2026-05-04;14.51;22.17
2025-2026;2026-05-30;30/05/26;Banyoles;Copa Catalana per equips;2a Jornada;E;copa;S.B.CORAL COLÓN;Sabadell;carrer;109.0;218.0;84;verificat;;;0.26;56.68;3;True;75.0;131.68;1.5683;2026-05-25;14.17;22.22
2025-2026;2026-06-06;06/06/26;Banyoles;Copa Catalana per equips;3a Jornada;C;copa;C.B.MATARÓ;Mataró;carrer;85.9;171.8;68;verificat;;;0.26;44.67;3;True;75.0;119.67;1.5477;2026-06-01;11.17;17.28
